title,genres,imdbId,tmdbId
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,110413,101
"Perez Family, The (1995)",Comedy|Romance,114113,63020
"Pyromaniac's Love Story, A (1995)",Comedy|Romance,114210,2307
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680
Pushing Hands (Tui shou) (1992),Drama,105652,25296
Priest (1994),Drama,110889,40156
Quiz Show (1994),Drama,110932,11450
Picture Bride (Bijo photo) (1994),Drama|Romance,114129,30304
"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,110963,10452
"Quick and the Dead, The (1995)",Action|Thriller|Western,114214,12106
Roommates (1995),Comedy|Drama,114296,161495
Ready to Wear (Pret-A-Porter) (1994),Comedy,110907,3586
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,111495,110
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,108394,108
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,111507,109
Rent-a-Kid (1995),Comedy,114268,36357
Relative Fear (1994),Horror|Thriller,110965,92769
Stuart Saves His Family (1995),Comedy,114571,28033
"Swan Princess, The (1994)",Animation|Children,111333,22586
"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,111112,14334
"Specialist, The (1994)",Action|Drama|Thriller,111255,2636
Stargate (1994),Action|Adventure|Sci-Fi,111282,2164
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,111070,11395
"Shawshank Redemption, The (1994)",Crime|Drama,111161,278
Shallow Grave (1994),Comedy|Drama|Thriller,111149,9905
Suture (1993),Film-Noir|Thriller,108260,87078
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,106966,12527
Swimming with Sharks (1995),Comedy|Drama,114594,20306
"Sum of Us, The (1994)",Comedy|Drama,111309,36614
National Lampoon's Senior Trip (1995),Comedy,113936,27993
To Live (Huozhe) (1994),Drama,110081,31439
Tank Girl (1995),Action|Comedy|Sci-Fi,114614,9067
Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,114608,9059
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,111280,193
Tales from the Hood (1995),Action|Crime|Horror,114609,25066
Tom & Viv (1994),Drama,111454,46797
Village of the Damned (1995),Horror|Sci-Fi,114852,12122
Tommy Boy (1995),Comedy,114694,11381
Vanya on 42nd Street (1994),Drama,111590,32636
Underneath (1995),Mystery|Thriller,114788,36141
"Walking Dead, The (1995)",Drama|War,114888,95963
What's Eating Gilbert Grape (1993),Drama,108550,1587
Virtuosity (1995),Action|Sci-Fi|Thriller,114857,9271
While You Were Sleeping (1995),Comedy|Romance,114924,2064
"War, The (1994)",Adventure|Drama|War,111667,19855
Double Happiness (1994),Drama,109655,60855
Muriel's Wedding (1994),Comedy,110598,236
"Baby-Sitters Club, The (1995)",Children,112435,48287
Ace Ventura: Pet Detective (1994),Comedy,109040,3049
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,109045,2759
Backbeat (1993),Drama|Musical,106339,12635
Bitter Moon (1992),Drama|Film-Noir|Romance,104779,10497
Bullets Over Broadway (1994),Comedy,109348,11382
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,109444,9331
"Client, The (1994)",Drama|Mystery|Thriller,109446,10731
"Corrina, Corrina (1994)",Comedy|Drama|Romance,109484,10464
Crooklyn (1994),Comedy|Drama,109504,34152
"Crow, The (1994)",Action|Crime|Fantasy|Thriller,109506,9495
Cobb (1994),Drama,109450,29973
"Flintstones, The (1994)",Children|Comedy|Fantasy,109813,888
Forrest Gump (1994),Comedy|Drama|Romance|War,109830,13
Four Weddings and a Funeral (1994),Comedy|Romance,109831,712
Higher Learning (1995),Drama,113305,16295
I Like It Like That (1994),Comedy|Drama|Romance,110091,48992
I Love Trouble (1994),Action|Comedy,110093,10879
It Could Happen to You (1994),Comedy|Drama|Romance,110167,10660
"Jungle Book, The (1994)",Adventure|Children|Romance,110213,10714
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,107472,41647
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587
Little Buddha (1993),Drama,107426,1689
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,111686,11596
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,110475,854
Maverick (1994),Adventure|Comedy|Western,110478,9359
Mrs. Parker and the Vicious Circle (1994),Drama,110588,23333
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,110622,36593
"Paper, The (1994)",Comedy|Drama,110771,12280
Reality Bites (1994),Comedy|Drama|Romance,110950,2788
Red Rock West (1992),Thriller,105226,10427
Richie Rich (1994),Children|Comedy,110989,11011
"River Wild, The (1994)",Action|Thriller,110997,8987
Speed (1994),Action|Romance|Thriller,111257,1637
Speechless (1994),Comedy|Romance,111256,15128
Timecop (1994),Action|Sci-Fi|Thriller,111438,8831
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,111503,36955
When a Man Loves a Woman (1994),Drama|Romance,111693,10449
Wolf (1994),Drama|Horror|Romance|Thriller,111742,10395
Wyatt Earp (1994),Western,111756,12160
Bad Company (1995),Action|Crime|Drama,112443,40480
"Man of No Importance, A (1994)",Drama,110455,52038
S.F.W. (1994),Drama,111048,29444
"Low Down Dirty Shame, A (1994)",Action|Comedy,110399,26352
Boys Life (1995),Drama,112570,39953
"Colonel Chabert, Le (1994)",Drama|Romance|War,109454,41580
Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,59170,315
Jason's Lyric (1994),Crime|Drama,110186,22067
Street Fighter (1994),Action|Adventure|Fantasy,111301,11667
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,110027,8011
Federal Hill (1994),Drama,109785,171857
In the Mouth of Madness (1995),Horror|Thriller,113409,2654
8 Seconds (1994),Drama,109021,18069
Above the Rim (1994),Crime|Drama,109035,19092
Addams Family Values (1993),Children|Comedy|Fantasy,106220,2758
"Age of Innocence, The (1993)",Drama,106226,10436
Airheads (1994),Comedy,109068,13595
"Air Up There, The (1994)",Comedy,109067,46094
Another Stakeout (1993),Comedy|Thriller,106292,9409
Bad Girls (1994),Western,109198,11853
Barcelona (1994),Comedy|Romance,109219,16771
Being Human (1993),Drama,106379,46924
"Beverly Hillbillies, The (1993)",Comedy,106400,11041
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,109254,306
Black Beauty (1994),Adventure|Children|Drama,109279,14522
Blink (1994),Thriller,109297,26203
Blown Away (1994),Action|Thriller,109303,178
Blue Chips (1994),Drama,109305,19819
Blue Sky (1994),Drama|Romance,109306,57834
Body Snatchers (1993),Horror|Sci-Fi|Thriller,106452,4722
Boxing Helena (1993),Drama|Mystery|Romance|Thriller,106471,18215
"Bronx Tale, A (1993)",Drama,106489,1607
Cabin Boy (1994),Comedy,109361,26391
Calendar Girl (1993),Comedy|Drama,106505,117553
Carlito's Way (1993),Crime|Drama,106519,6075
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,109439,11310
Clean Slate (1994),Comedy,109443,18658
Cliffhanger (1993),Action|Adventure|Thriller,106582,9350
Coneheads (1993),Comedy|Sci-Fi,106598,9612
Color of Night (1994),Drama|Thriller,109456,2124
Cops and Robbersons (1994),Comedy,109480,26261
"Cowboy Way, The (1994)",Action|Comedy|Drama,109493,19176
Dave (1993),Comedy|Romance,106673,11566
Dazed and Confused (1993),Comedy,106677,9571
Demolition Man (1993),Action|Adventure|Sci-Fi,106697,9739
Even Cowgirls Get the Blues (1993),Comedy|Romance,106834,34444
Fatal Instinct (1993),Comedy,106873,26141
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,106332,10997
Fearless (1993),Drama,106881,10443
Fear of a Black Hat (1994),Comedy,106880,20239
With Honors (1994),Comedy|Drama,111732,16297
Flesh and Bone (1993),Drama|Mystery|Romance,106926,18551
Widows' Peak (1994),Drama,111712,25440
For Love or Money (1993),Comedy|Romance,106941,9024
"Firm, The (1993)",Drama|Thriller,106918,37233
Free Willy (1993),Adventure|Children|Drama,106965,1634
Fresh (1994),Crime|Drama|Thriller,109842,13815
"Fugitive, The (1993)",Thriller,106977,5503
Geronimo: An American Legend (1993),Drama|Western,107004,35588
"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,109890,2087
Getting Even with Dad (1994),Comedy,109891,41579
Go Fish (1994),Drama|Romance,109913,18620
Hard Target (1993),Action|Adventure|Crime|Thriller,107076,2019
Hot Shots! Part Deux (1993),Action|Comedy|War,107144,9255
Live Nude Girls (1995),Comedy,113674,26271
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,112966,10612
"House of the Spirits, The (1993)",Drama|Romance,107151,2259
House Party 3 (1994),Comedy,110064,16097
"Hudsucker Proxy, The (1994)",Comedy,110074,11934
I'll Do Anything (1994),Comedy|Drama,110097,106143
In the Army Now (1994),Comedy|War,110123,12475
In the Line of Fire (1993),Action|Thriller,107206,9386
In the Name of the Father (1993),Drama,107207,7984
"Inkwell, The (1994)",Comedy|Drama,110137,59930
What's Love Got to Do with It? (1993),Drama|Musical,108551,15765
Jimmy Hollywood (1994),Comedy|Crime|Drama,110197,31643
Judgment Night (1993),Action|Crime|Thriller,107286,6
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290,329
Kalifornia (1993),Drama|Thriller,107302,10909
Killing Zoe (1994),Crime|Drama|Thriller,110265,507
Lassie (1994),Adventure|Children,110305,29918
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,107362,9593
Life with Mikey (1993),Comedy,107413,42580
Lightning Jack (1994),Comedy|Western,110353,22317
M. Butterfly (1993),Drama|Romance,107468,1413
Made in America (1993),Comedy,107478,12121
Malice (1993),Thriller,107497,2246
"Man Without a Face, The (1993)",Drama,107501,10502
Manhattan Murder Mystery (1993),Comedy|Mystery,107507,10440
Menace II Society (1993),Action|Crime|Drama,107554,9516
Executive Decision (1996),Action|Adventure|Thriller,116253,2320
In the Realm of the Senses (Ai no corrida) (1976),Drama,74102,5879
What Happened Was... (1994),Comedy|Drama|Romance|Thriller,111689,83718
Much Ado About Nothing (1993),Comedy|Romance,107616,11971
Mr. Wonderful (1993),Comedy|Romance,107613,31911
Mrs. Doubtfire (1993),Comedy|Drama,107614,788
Naked (1993),Drama,107653,21450
"Next Karate Kid, The (1994)",Action|Children|Romance,110657,11231
No Escape (1994),Action|Drama|Sci-Fi,110678,10447
North (1994),Comedy,110687,31586
Orlando (1992),Drama|Fantasy|Romance,107756,9300
"Perfect World, A (1993)",Crime|Drama|Thriller,107808,9559
Philadelphia (1993),Drama,107818,9800
"Piano, The (1993)",Drama|Romance,107822,713
Poetic Justice (1993),Drama,107840,8291
"Program, The (1993)",Action|Drama,107889,18133
"Puppet Masters, The (1994)",Horror|Sci-Fi,111003,25557
Radioland Murders (1994),Comedy|Mystery|Romance,110939,22588
"Ref, The (1994)",Comedy,110955,10872
"Remains of the Day, The (1993)",Drama|Romance,107943,1245
Renaissance Man (1994),Comedy|Drama,110971,11858
Rising Sun (1993),Action|Drama|Mystery,107969,7007
"Road to Wellville, The (1994)",Comedy,111001,10467
RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,107978,5550
Robin Hood: Men in Tights (1993),Comedy,107977,8005
Romeo Is Bleeding (1993),Crime|Thriller,107983,2088
Romper Stomper (1992),Action|Drama,105275,10412
Ruby in Paradise (1993),Drama,108000,47889
Rudy (1993),Drama,108002,14534
"Savage Nights (Nuits fauves, Les) (1992)",Drama,105032,41878
Schindler's List (1993),Drama|War,108052,424
"Scout, The (1994)",Comedy|Drama,111094,35233
Searching for Bobby Fischer (1993),Drama,108065,14291
"Secret Garden, The (1993)",Children|Drama,108071,11236
Serial Mom (1994),Comedy|Crime|Horror,111127,11592
"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,111143,8850
Shadowlands (1993),Drama|Romance,108101,10445
Short Cuts (1993),Drama,108122,695
"Simple Twist of Fate, A (1994)",Drama,111194,43535
Sirens (1994),Drama,111201,12519
Six Degrees of Separation (1993),Drama,108149,23210
Sleepless in Seattle (1993),Comedy|Drama|Romance,108160,858
Sliver (1993),Thriller,108162,867
Blade Runner (1982),Action|Sci-Fi|Thriller,83658,78
Son in Law (1993),Comedy|Drama|Romance,108186,13203
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,108174,10442
Striking Distance (1993),Action|Crime,108238,11074
Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,108255,9607
Surviving the Game (1994),Action|Adventure|Thriller,111323,17585
Terminal Velocity (1994),Action|Mystery|Thriller,111400,9057
Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,108328,20967
Threesome (1994),Comedy|Romance,111418,10635
"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,107688,9479
"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,108333,10057
Tombstone (1993),Action|Drama|Western,108358,11969
True Romance (1993),Crime|Thriller,108399,319
"War Room, The (1993)",Documentary,108515,26408
"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,110763,15139
Welcome to the Dollhouse (1995),Comedy|Drama,114906,11446
Germinal (1993),Drama|Romance,107002,51980
Chasers (1994),Comedy,109403,24405
Kika (1993),Comedy|Drama,107315,8223
Bhaji on the Beach (1993),Comedy|Drama,106408,14587
Little Big League (1994),Comedy|Drama,110363,31504
